STATION_ID,DNR_PARAMETER_CODE,START_DATE_TIME,RESULT_AMT,RESULT_VALUE_NO,LOD_AMT,UniqueID,result,PramName,Sample_code,Year,Ecoregion
10008194,608,10/25/2017 10:45,0.0265,0.0265,0.015,10008194_2017,0.0265,NH3_N,2017-21,2017,Southeastern Wisconsin Till Plains
10008194,608,8/11/2020 11:45,NA,ND,0.017,10008194_2020,0.0085,NH3_N,2020-29,2020,Southeastern Wisconsin Till Plains
10008194,608,9/2/2021 13:00,0.0207,0.0207,0.012,10008194_2021,0.0207,NH3_N,2021-35,2021,Southeastern Wisconsin Till Plains
10008194,608,8/17/2022 14:38,NA,ND,0.012,10008194_2022,0.006,NH3_N,2022-20,2022,Southeastern Wisconsin Till Plains
10008194,631,5/25/2017 12:00,0.582,0.582,0.019,10008194_2017,0.582,NO2+NO3,2017-21,2017,Southeastern Wisconsin Till Plains
10008194,631,6/26/2017 11:00,0.998,0.998,0.019,10008194_2017,0.998,NO2+NO3,2017-21,2017,Southeastern Wisconsin Till Plains
10008194,631,10/25/2017 10:45,0.802,0.802,0.036,10008194_2017,0.802,NO2+NO3,2017-21,2017,Southeastern Wisconsin Till Plains
10008194,631,8/11/2020 11:45,0.793,0.793,0.04,10008194_2020,0.793,NO2+NO3,2020-29,2020,Southeastern Wisconsin Till Plains
10008194,631,9/2/2021 13:00,0.947,0.947,0.055,10008194_2021,0.947,NO2+NO3,2021-35,2021,Southeastern Wisconsin Till Plains
10008194,631,8/17/2022 14:38,1.79,1.79,0.055,10008194_2022,1.79,NO2+NO3,2022-20,2022,Southeastern Wisconsin Till Plains
10008194,665,5/25/2017 12:00,0.101,0.101,0.005,10008194_2017,0.101,TP,2017-21,2017,Southeastern Wisconsin Till Plains
10008194,665,6/26/2017 11:00,0.123,0.123,0.005,10008194_2017,0.123,TP,2017-21,2017,Southeastern Wisconsin Till Plains
10008194,665,7/17/2017 13:00,0.129,0.129,0.005,10008194_2017,0.129,TP,2017-21,2017,Southeastern Wisconsin Till Plains
10008194,665,8/23/2017 11:00,0.0902,0.0902,0.005,10008194_2017,0.0902,TP,2017-21,2017,Southeastern Wisconsin Till Plains
10008194,665,9/15/2017 12:35,0.0677,0.0677,0.005,10008194_2017,0.0677,TP,2017-21,2017,Southeastern Wisconsin Till Plains
10008194,665,10/25/2017 10:45,0.0916,0.0916,0.005,10008194_2017,0.0916,TP,2017-21,2017,Southeastern Wisconsin Till Plains
10008194,665,6/24/2020 13:30,0.132,0.132,0.008,10008194_2020,0.132,TP,2020-29,2020,Southeastern Wisconsin Till Plains
10008194,665,7/8/2020 11:05,0.148,0.148,0.008,10008194_2020,0.148,TP,2020-29,2020,Southeastern Wisconsin Till Plains
10008194,665,8/11/2020 11:45,0.127,0.127,0.008,10008194_2020,0.127,TP,2020-29,2020,Southeastern Wisconsin Till Plains
10008194,665,9/23/2020 11:40,0.0634,0.0634,0.008,10008194_2020,0.0634,TP,2020-29,2020,Southeastern Wisconsin Till Plains
10008194,665,5/27/2021 12:07,0.109,0.109,0.012,10008194_2021,0.109,TP,2021-35,2021,Southeastern Wisconsin Till Plains
10008194,665,6/28/2021 12:15,0.138,0.138,0.009,10008194_2021,0.138,TP,2021-35,2021,Southeastern Wisconsin Till Plains
10008194,665,7/26/2021 10:34,0.0904,0.0904,0.009,10008194_2021,0.0904,TP,2021-35,2021,Southeastern Wisconsin Till Plains
10008194,665,9/2/2021 13:00,0.124,0.124,0.009,10008194_2021,0.124,TP,2021-35,2021,Southeastern Wisconsin Till Plains
10008194,665,8/17/2022 14:38,0.0976,0.0976,0.009,10008194_2022,0.0976,TP,2022-20,2022,Southeastern Wisconsin Till Plains
10008430,600,5/16/2022 9:50,3.15,3.15,0.058,10008430_2022,3.15,TN,2022-46,2022,North Central Hardwood Forests
10008430,600,6/14/2022 9:50,3.42,3.42,0.058,10008430_2022,3.42,TN,2022-46,2022,North Central Hardwood Forests
10008430,600,7/18/2022 10:15,3.18,3.18,0.058,10008430_2022,3.18,TN,2022-46,2022,North Central Hardwood Forests
10008430,600,8/16/2022 11:50,3.11,3.11,0.058,10008430_2022,3.11,TN,2022-46,2022,North Central Hardwood Forests
10008430,600,9/19/2022 11:00,3.27,3.27,0.058,10008430_2022,3.27,TN,2022-46,2022,North Central Hardwood Forests
10008430,600,10/18/2022 9:50,3.48,3.48,0.058,10008430_2022,3.48,TN,2022-46,2022,North Central Hardwood Forests
10008430,608,5/16/2022 9:50,NA,ND,0.012,10008430_2022,0.006,NH3_N,2022-46,2022,North Central Hardwood Forests
10008430,608,6/14/2022 9:50,0.0215,0.0215,0.012,10008430_2022,0.0215,NH3_N,2022-46,2022,North Central Hardwood Forests
10008430,608,7/18/2022 10:15,0.0167,0.0167,0.012,10008430_2022,0.0167,NH3_N,2022-46,2022,North Central Hardwood Forests
10008430,608,8/16/2022 11:50,0.0137,0.0137,0.012,10008430_2022,0.0137,NH3_N,2022-46,2022,North Central Hardwood Forests
10008430,608,9/19/2022 11:00,NA,ND,0.012,10008430_2022,0.006,NH3_N,2022-46,2022,North Central Hardwood Forests
10008430,608,10/18/2022 9:50,NA,ND,0.012,10008430_2022,0.006,NH3_N,2022-46,2022,North Central Hardwood Forests
10008430,631,5/16/2022 9:50,2.9,2.9,0.055,10008430_2022,2.9,NO2+NO3,2022-46,2022,North Central Hardwood Forests
10008430,631,6/14/2022 9:50,2.9,2.9,0.055,10008430_2022,2.9,NO2+NO3,2022-46,2022,North Central Hardwood Forests
10008430,631,7/18/2022 10:15,2.93,2.93,0.055,10008430_2022,2.93,NO2+NO3,2022-46,2022,North Central Hardwood Forests
10008430,631,8/16/2022 11:50,2.91,2.91,0.055,10008430_2022,2.91,NO2+NO3,2022-46,2022,North Central Hardwood Forests
10008430,631,9/19/2022 11:00,2.8,2.8,0.055,10008430_2022,2.8,NO2+NO3,2022-46,2022,North Central Hardwood Forests
10008430,631,10/18/2022 9:50,3.24,3.24,0.11,10008430_2022,3.24,NO2+NO3,2022-46,2022,North Central Hardwood Forests
10008430,665,5/16/2022 9:50,0.0577,0.0577,0.009,10008430_2022,0.0577,TP,2022-46,2022,North Central Hardwood Forests
10008430,665,6/14/2022 9:50,0.0664,0.0664,0.009,10008430_2022,0.0664,TP,2022-46,2022,North Central Hardwood Forests
10008430,665,7/18/2022 10:15,0.0538,0.0538,0.009,10008430_2022,0.0538,TP,2022-46,2022,North Central Hardwood Forests
10008430,665,8/16/2022 11:50,0.0619,0.0619,0.009,10008430_2022,0.0619,TP,2022-46,2022,North Central Hardwood Forests
10008430,665,9/19/2022 11:00,0.0725,0.0725,0.009,10008430_2022,0.0725,TP,2022-46,2022,North Central Hardwood Forests
10008430,665,10/18/2022 9:50,0.0449,0.0449,0.009,10008430_2022,0.0449,TP,2022-46,2022,North Central Hardwood Forests
10008667,665,6/12/2018 10:45,0.145,0.145,0.005,10008667_2018,0.145,TP,2018-32,2018,North Central Hardwood Forests
10008667,665,7/17/2018 14:25,0.121,0.121,0.005,10008667_2018,0.121,TP,2018-32,2018,North Central Hardwood Forests
10008667,665,8/20/2018 14:25,0.0838,0.0838,0.005,10008667_2018,0.0838,TP,2018-32,2018,North Central Hardwood Forests
10008667,665,9/17/2018 12:44,0.141,0.141,0.005,10008667_2018,0.141,TP,2018-32,2018,North Central Hardwood Forests
10008671,665,6/12/2018 10:35,0.133,0.133,0.005,10008671_2018,0.133,TP,2018-31,2018,North Central Hardwood Forests
10008671,665,7/17/2018 14:15,0.116,0.116,0.005,10008671_2018,0.116,TP,2018-31,2018,North Central Hardwood Forests
10008671,665,8/20/2018 14:30,0.0774,0.0774,0.005,10008671_2018,0.0774,TP,2018-31,2018,North Central Hardwood Forests
10008671,665,9/17/2018 12:32,0.116,0.116,0.005,10008671_2018,0.116,TP,2018-31,2018,North Central Hardwood Forests
10008873,600,10/25/2017 11:45,1.28,1.28,0.075,10008873_2017,1.28,TN,2017-25,2017,Southeastern Wisconsin Till Plains
10008873,600,9/2/2021 12:15,1.12,1.12,0.058,10008873_2021,1.12,TN,2021-34,2021,Southeastern Wisconsin Till Plains
10008873,600,8/17/2022 15:14,1.03,1.03,0.058,10008873_2022,1.03,TN,2022-24,2022,Southeastern Wisconsin Till Plains
10008873,608,5/25/2017 14:30,0.0164,0.0164,0.015,10008873_2017,0.0164,NH3_N,2017-25,2017,Southeastern Wisconsin Till Plains
10008873,608,6/26/2017 13:15,0.04,0.04,0.015,10008873_2017,0.04,NH3_N,2017-25,2017,Southeastern Wisconsin Till Plains
10008873,608,10/25/2017 11:45,0.0266,0.0266,0.015,10008873_2017,0.0266,NH3_N,2017-25,2017,Southeastern Wisconsin Till Plains
10008873,608,8/11/2020 11:15,0.0453,0.0453,0.017,10008873_2020,0.0453,NH3_N,2020-28,2020,Southeastern Wisconsin Till Plains
10008873,608,9/2/2021 12:15,0.0174,0.0174,0.012,10008873_2021,0.0174,NH3_N,2021-34,2021,Southeastern Wisconsin Till Plains
10008873,608,8/17/2022 15:14,0.019,0.019,0.012,10008873_2022,0.019,NH3_N,2022-24,2022,Southeastern Wisconsin Till Plains
10008873,631,5/25/2017 14:30,0.184,0.184,0.019,10008873_2017,0.184,NO2+NO3,2017-25,2017,Southeastern Wisconsin Till Plains
10008873,631,6/26/2017 13:15,0.58,0.58,0.019,10008873_2017,0.58,NO2+NO3,2017-25,2017,Southeastern Wisconsin Till Plains
10008873,631,10/25/2017 11:45,0.439,0.439,0.036,10008873_2017,0.439,NO2+NO3,2017-25,2017,Southeastern Wisconsin Till Plains
10008873,631,8/11/2020 11:15,0.648,0.648,0.04,10008873_2020,0.648,NO2+NO3,2020-28,2020,Southeastern Wisconsin Till Plains
10008873,631,9/2/2021 12:15,0.833,0.833,0.055,10008873_2021,0.833,NO2+NO3,2021-34,2021,Southeastern Wisconsin Till Plains
10008873,631,8/17/2022 15:14,0.763,0.763,0.055,10008873_2022,0.763,NO2+NO3,2022-24,2022,Southeastern Wisconsin Till Plains
10008873,665,5/25/2017 14:30,0.0879,0.0879,0.005,10008873_2017,0.0879,TP,2017-25,2017,Southeastern Wisconsin Till Plains
10008873,665,6/26/2017 13:15,0.101,0.101,0.005,10008873_2017,0.101,TP,2017-25,2017,Southeastern Wisconsin Till Plains
10008873,665,7/17/2017 14:35,0.119,0.119,0.005,10008873_2017,0.119,TP,2017-25,2017,Southeastern Wisconsin Till Plains
10008873,665,8/25/2017 13:24,0.0562,0.0562,0.005,10008873_2017,0.0562,TP,2017-25,2017,Southeastern Wisconsin Till Plains
10008873,665,9/15/2017 15:05,0.0544,0.0544,0.005,10008873_2017,0.0544,TP,2017-25,2017,Southeastern Wisconsin Till Plains
10008873,665,10/25/2017 11:45,0.0961,0.0961,0.005,10008873_2017,0.0961,TP,2017-25,2017,Southeastern Wisconsin Till Plains
10008873,665,6/24/2020 14:00,0.125,0.125,0.008,10008873_2020,0.125,TP,2020-28,2020,Southeastern Wisconsin Till Plains
10008873,665,7/8/2020 10:40,0.137,0.137,0.008,10008873_2020,0.137,TP,2020-28,2020,Southeastern Wisconsin Till Plains
10008873,665,8/11/2020 11:15,0.099,0.099,0.008,10008873_2020,0.099,TP,2020-28,2020,Southeastern Wisconsin Till Plains
10008873,665,9/23/2020 11:10,0.0556,0.0556,0.008,10008873_2020,0.0556,TP,2020-28,2020,Southeastern Wisconsin Till Plains
10008873,665,5/27/2021 11:43,0.127,0.127,0.012,10008873_2021,0.127,TP,2021-34,2021,Southeastern Wisconsin Till Plains
10008873,665,6/28/2021 12:39,0.142,0.142,0.009,10008873_2021,0.142,TP,2021-34,2021,Southeastern Wisconsin Till Plains
10008873,665,7/26/2021 11:06,0.0657,0.0657,0.009,10008873_2021,0.0657,TP,2021-34,2021,Southeastern Wisconsin Till Plains
10008873,665,9/2/2021 12:15,0.0531,0.0531,0.009,10008873_2021,0.0531,TP,2021-34,2021,Southeastern Wisconsin Till Plains
10008873,665,8/17/2022 15:14,0.0438,0.0438,0.009,10008873_2022,0.0438,TP,2022-24,2022,Southeastern Wisconsin Till Plains
10009007,600,7/31/2019 10:40,1.6,1.6,0.075,10009007_2019,1.6,TN,2019-08,2019,Driftless Area
10009007,600,9/10/2021 10:05,1.65,1.65,0.058,10009007_2021,1.65,TN,2021-18,2021,Driftless Area
10009007,600,9/1/2022 10:25,1.67,1.67,0.058,10009007_2022,1.67,TN,2022-31,2022,Driftless Area
10009007,608,8/31/2017 10:50,0.0283,0.0283,0.015,10009007_2017,0.0283,NH3_N,2017-41,2017,Driftless Area
10009007,608,8/14/2018 14:00,0.0154,0.0154,0.015,10009007_2018,0.0154,NH3_N,2018-24,2018,Driftless Area
10009007,608,7/31/2019 10:40,NA,ND,0.015,10009007_2019,0.0075,NH3_N,2019-08,2019,Driftless Area
10009007,608,9/10/2021 10:05,NA,ND,0.012,10009007_2021,0.006,NH3_N,2021-18,2021,Driftless Area
10009007,608,9/1/2022 10:25,NA,ND,0.012,10009007_2022,0.006,NH3_N,2022-31,2022,Driftless Area
10009007,631,8/31/2017 10:50,1.4,1.4,0.019,10009007_2017,1.4,NO2+NO3,2017-41,2017,Driftless Area
10009007,631,8/14/2018 14:00,1.25,1.25,0.036,10009007_2018,1.25,NO2+NO3,2018-24,2018,Driftless Area
10009007,631,7/31/2019 10:40,1.33,1.33,0.036,10009007_2019,1.33,NO2+NO3,2019-08,2019,Driftless Area
10009007,631,9/10/2021 10:05,1.45,1.45,0.055,10009007_2021,1.45,NO2+NO3,2021-18,2021,Driftless Area
10009007,631,9/1/2022 10:25,1.48,1.48,0.055,10009007_2022,1.48,NO2+NO3,2022-31,2022,Driftless Area
10009007,665,8/31/2017 10:50,0.0462,0.0462,0.005,10009007_2017,0.0462,TP,2017-41,2017,Driftless Area
10009007,665,8/14/2018 14:00,0.0362,0.0362,0.005,10009007_2018,0.0362,TP,2018-24,2018,Driftless Area
10009007,665,7/31/2019 10:40,0.0312,0.0312,0.008,10009007_2019,0.0312,TP,2019-08,2019,Driftless Area
10009007,665,9/10/2021 10:05,0.0269,0.0269,0.009,10009007_2021,0.0269,TP,2021-18,2021,Driftless Area
10009007,665,9/1/2022 10:25,0.0411,0.0411,0.009,10009007_2022,0.0411,TP,2022-31,2022,Driftless Area
10009320,665,5/22/2016 9:33,0.0609,0.0609,0.005,10009320_2016,0.0609,TP,2016-75,2016,North Central Hardwood Forests
10009320,665,6/19/2016 9:25,0.0758,0.0758,0.005,10009320_2016,0.0758,TP,2016-75,2016,North Central Hardwood Forests
10009320,665,7/17/2016 8:38,0.0828,0.0828,0.005,10009320_2016,0.0828,TP,2016-75,2016,North Central Hardwood Forests
10009320,665,8/21/2016 9:15,0.136,0.136,0.005,10009320_2016,0.136,TP,2016-75,2016,North Central Hardwood Forests
10009320,665,9/18/2016 9:08,0.0746,0.0746,0.005,10009320_2016,0.0746,TP,2016-75,2016,North Central Hardwood Forests
10009320,665,10/16/2016 9:29,0.0512,0.0512,0.005,10009320_2016,0.0512,TP,2016-75,2016,North Central Hardwood Forests
10009320,665,5/21/2017 13:40,0.156,0.156,0.005,10009320_2017,0.156,TP,2017-91,2017,North Central Hardwood Forests
10009320,665,6/18/2017 13:35,0.136,0.136,0.005,10009320_2017,0.136,TP,2017-91,2017,North Central Hardwood Forests
10009320,665,7/16/2017 13:51,0.0775,0.0775,0.005,10009320_2017,0.0775,TP,2017-91,2017,North Central Hardwood Forests
10009320,665,8/20/2017 13:30,0.074,0.074,0.005,10009320_2017,0.074,TP,2017-91,2017,North Central Hardwood Forests
10009320,665,9/17/2017 13:47,0.0686,0.0686,0.005,10009320_2017,0.0686,TP,2017-91,2017,North Central Hardwood Forests
10009320,665,10/15/2017 12:49,0.0775,0.0775,0.005,10009320_2017,0.0775,TP,2017-91,2017,North Central Hardwood Forests
10009352,600,5/7/2019 10:25,1.6,1.6,0.075,10009352_2019,1.6,TN,2019-48,2019,North Central Hardwood Forests
10009352,600,5/22/2019 9:40,1.21,1.21,0.075,10009352_2019,1.21,TN,2019-48,2019,North Central Hardwood Forests
10009352,600,7/29/2019 13:30,2.74,2.74,0.075,10009352_2019,2.74,TN,2019-48,2019,North Central Hardwood Forests
10009352,600,8/13/2019 12:00,2.55,2.55,0.075,10009352_2019,2.55,TN,2019-48,2019,North Central Hardwood Forests
10009352,600,10/31/2019 12:20,2.01,2.01,0.024,10009352_2019,2.01,TN,2019-48,2019,North Central Hardwood Forests
10009352,608,5/7/2019 10:25,NA,ND,0.015,10009352_2019,0.0075,NH3_N,2019-48,2019,North Central Hardwood Forests
10009352,608,5/22/2019 9:40,NA,ND,0.015,10009352_2019,0.0075,NH3_N,2019-48,2019,North Central Hardwood Forests
10009352,608,7/29/2019 13:30,0.0325,0.0325,0.015,10009352_2019,0.0325,NH3_N,2019-48,2019,North Central Hardwood Forests
10009352,608,8/13/2019 12:00,0.0278,0.0278,0.015,10009352_2019,0.0278,NH3_N,2019-48,2019,North Central Hardwood Forests
10009352,608,10/31/2019 12:20,NA,ND,0.015,10009352_2019,0.0075,NH3_N,2019-48,2019,North Central Hardwood Forests
10009352,631,5/7/2019 10:25,0.632,0.632,0.036,10009352_2019,0.632,NO2+NO3,2019-48,2019,North Central Hardwood Forests
10009352,631,5/22/2019 9:40,0.204,0.204,0.036,10009352_2019,0.204,NO2+NO3,2019-48,2019,North Central Hardwood Forests
10009352,631,7/29/2019 13:30,1.56,1.56,0.036,10009352_2019,1.56,NO2+NO3,2019-48,2019,North Central Hardwood Forests
10009352,631,8/13/2019 12:00,1.53,1.53,0.036,10009352_2019,1.53,NO2+NO3,2019-48,2019,North Central Hardwood Forests
10009352,631,10/31/2019 12:20,1.31,1.31,0.036,10009352_2019,1.31,NO2+NO3,2019-48,2019,North Central Hardwood Forests
10009352,665,6/21/2018 15:00,0.151,0.151,0.005,10009352_2018,0.151,TP,2018-13,2018,North Central Hardwood Forests
10009352,665,7/30/2018 11:10,0.0547,0.0547,0.005,10009352_2018,0.0547,TP,2018-13,2018,North Central Hardwood Forests
10009352,665,8/20/2018 10:45,0.0456,0.0456,0.005,10009352_2018,0.0456,TP,2018-13,2018,North Central Hardwood Forests
10009352,665,9/25/2018 9:50,0.0349,0.0349,0.005,10009352_2018,0.0349,TP,2018-13,2018,North Central Hardwood Forests
10009352,665,4/18/2019 10:50,0.119,0.119,0.008,10009352_2019,0.119,TP,2019-48,2019,North Central Hardwood Forests
10009352,665,5/22/2019 9:40,0.0617,0.0617,0.008,10009352_2019,0.0617,TP,2019-48,2019,North Central Hardwood Forests
10009352,665,7/16/2019 13:50,0.194,0.194,0.008,10009352_2019,0.194,TP,2019-48,2019,North Central Hardwood Forests
10009445,665,5/16/2017 16:30,0.135,0.135,0.005,10009445_2017,0.135,TP,2017-18,2017,Southeastern Wisconsin Till Plains
10009445,665,6/21/2017 13:30,0.318,0.318,0.005,10009445_2017,0.318,TP,2017-18,2017,Southeastern Wisconsin Till Plains
10009445,665,7/18/2017 9:00,0.302,0.302,0.005,10009445_2017,0.302,TP,2017-18,2017,Southeastern Wisconsin Till Plains
10009445,665,8/28/2017 17:20,0.224,0.224,0.005,10009445_2017,0.224,TP,2017-18,2017,Southeastern Wisconsin Till Plains
10009445,665,9/25/2017 17:00,0.451,0.451,0.005,10009445_2017,0.451,TP,2017-18,2017,Southeastern Wisconsin Till Plains
10009445,665,10/18/2017 16:20,0.36,0.36,0.005,10009445_2017,0.36,TP,2017-18,2017,Southeastern Wisconsin Till Plains
10009648,600,7/26/2016 9:40,2.94,2.94,0.03,10009648_2016,2.94,TN,2016-10,2016,Driftless Area
10009648,600,7/5/2017 10:00,3.29,3.29,0.075,10009648_2017,3.29,TN,2017-81,2017,Driftless Area
10009648,600,7/31/2018 13:40,3.24,3.24,0.075,10009648_2018,3.24,TN,2018-33,2018,Driftless Area
10009648,600,7/11/2019 10:45,3.37,3.37,0.075,10009648_2019,3.37,TN,2019-24,2019,Driftless Area
10009648,600,8/2/2022 9:30,3.42,3.42,0.058,10009648_2022,3.42,TN,2022-38,2022,Driftless Area
10009648,608,7/26/2016 9:40,0.0208,0.0208,0.015,10009648_2016,0.0208,NH3_N,2016-10,2016,Driftless Area
10009648,608,7/5/2017 10:00,0.017,0.017,0.015,10009648_2017,0.017,NH3_N,2017-81,2017,Driftless Area
10009648,608,7/31/2018 13:40,NA,ND,0.015,10009648_2018,0.0075,NH3_N,2018-33,2018,Driftless Area
10009648,608,7/11/2019 10:45,NA,ND,0.015,10009648_2019,0.0075,NH3_N,2019-24,2019,Driftless Area
10009648,608,8/5/2020 13:30,NA,ND,0.017,10009648_2020,0.0085,NH3_N,2020-18,2020,Driftless Area
10009648,608,7/21/2021 12:00,NA,ND,0.012,10009648_2021,0.006,NH3_N,2021-29,2021,Driftless Area
10009648,608,8/2/2022 9:30,NA,ND,0.012,10009648_2022,0.006,NH3_N,2022-38,2022,Driftless Area
10009648,631,7/26/2016 9:40,2.37,2.37,0.019,10009648_2016,2.37,NO2+NO3,2016-10,2016,Driftless Area
10009648,631,7/5/2017 10:00,2.91,2.91,0.019,10009648_2017,2.91,NO2+NO3,2017-81,2017,Driftless Area
10009648,631,7/31/2018 13:40,2.86,2.86,0.036,10009648_2018,2.86,NO2+NO3,2018-33,2018,Driftless Area
10009648,631,7/11/2019 10:45,2.98,2.98,0.072,10009648_2019,2.98,NO2+NO3,2019-24,2019,Driftless Area
10009648,631,8/5/2020 13:30,2.98,2.98,0.08,10009648_2020,2.98,NO2+NO3,2020-18,2020,Driftless Area
10009648,631,7/21/2021 12:00,3.04,3.04,0.11,10009648_2021,3.04,NO2+NO3,2021-29,2021,Driftless Area
10009648,631,8/2/2022 9:30,3.33,3.33,0.11,10009648_2022,3.33,NO2+NO3,2022-38,2022,Driftless Area
10009648,665,7/26/2016 9:40,0.0192,0.0192,0.005,10009648_2016,0.0192,TP,2016-10,2016,Driftless Area
10009648,665,7/5/2017 10:00,0.0475,0.0475,0.005,10009648_2017,0.0475,TP,2017-81,2017,Driftless Area
10009648,665,7/31/2018 13:40,0.0177,0.0177,0.005,10009648_2018,0.0177,TP,2018-33,2018,Driftless Area
10009648,665,7/11/2019 10:45,0.0294,0.0294,0.008,10009648_2019,0.0294,TP,2019-24,2019,Driftless Area
10009648,665,8/5/2020 13:30,0.016,0.016,0.008,10009648_2020,0.016,TP,2020-18,2020,Driftless Area
10009648,665,7/21/2021 12:00,0.0197,0.0197,0.009,10009648_2021,0.0197,TP,2021-29,2021,Driftless Area
10009648,665,8/2/2022 9:30,0.0207,0.0207,0.009,10009648_2022,0.0207,TP,2022-38,2022,Driftless Area
10009818,665,5/7/2019 9:30,0.0229,0.0229,0.008,10009818_2019,0.0229,TP,2019-37,2019,Southeastern Wisconsin Till Plains
10009818,665,6/4/2019 12:45,0.0305,0.0305,0.008,10009818_2019,0.0305,TP,2019-37,2019,Southeastern Wisconsin Till Plains
10009818,665,7/10/2019 9:40,0.0244,0.0244,0.008,10009818_2019,0.0244,TP,2019-37,2019,Southeastern Wisconsin Till Plains
10009818,665,8/1/2019 10:45,0.0213,0.0213,0.008,10009818_2019,0.0213,TP,2019-37,2019,Southeastern Wisconsin Till Plains
10009818,665,9/4/2019 9:40,0.0571,0.0571,0.008,10009818_2019,0.0571,TP,2019-37,2019,Southeastern Wisconsin Till Plains
10009818,665,10/11/2019 11:15,0.115,0.115,0.008,10009818_2019,0.115,TP,2019-37,2019,Southeastern Wisconsin Till Plains
10009825,600,6/7/2016 9:20,2.19,2.19,0.03,10009825_2016,2.19,TN,2016-12,2016,Driftless Area
10009825,600,7/6/2017 10:00,2.23,2.23,0.075,10009825_2017,2.23,TN,2017-76,2017,Driftless Area
10009825,600,7/23/2018 9:00,2.39,2.39,0.075,10009825_2018,2.39,TN,2018-35,2018,Driftless Area
10009825,600,7/15/2019 11:30,2.54,2.54,0.15,10009825_2019,2.54,TN,2019-20,2019,Driftless Area
10009825,600,8/19/2021 10:15,2.18,2.18,0.058,10009825_2021,2.18,TN,2021-26,2021,Driftless Area
10009825,600,7/27/2022 10:40,2.33,2.33,0.058,10009825_2022,2.33,TN,2022-41,2022,Driftless Area
10009825,608,6/7/2016 9:20,0.0336,0.0336,0.015,10009825_2016,0.0336,NH3_N,2016-12,2016,Driftless Area
